BibNum,Title,Author,ISBN,PublicationYear,Publisher,Subjects,ItemType,ItemCollection,FloatingItem,ItemLocation,ReportDate,ItemCount
2216058,The floating book / Michelle Lovric.,"Lovric, Michelle",0060578564,c2003.,"ReganBooks,","Printing Fiction, Printers Fiction, Venice Italy Fiction, Historical fiction",acbk,cafic,NA,cen,2017-09-01T00:00:00.000,1
2959221,"Powers. [3], Little deaths / created and produced by Brian Michael Bendis & Michael Avon Oeming ; color art, Pete Pantazis & Pat Garrahy with Brian Michael Bendis ; letters, Ken Bruzenak & Pat Garrahy with Brian Michael Bendis.","Bendis, Brian Michael","0785159843, 9780785159841",c2011.,"Marvel Worldwide,","Superheroes Comic books strips etc, Police Comic books strips etc, Homicide investigation Comic books strips etc, Groupies Comic books strips etc, Graphic novels, Mystery comic books strips etc",acbk,nacomic,NA,net,2017-09-01T00:00:00.000,1
1804689,A field guide to western trees : Eastern [i.e. Western] United States and Canada / George A. Petrides ; illustrated by Olivia Petrides.,"Petrides, George A.",0395904544,1998.,"Houghton Mifflin,","Trees West U S Identification, Trees Canada Western Identification, Trees West U S Pictorial works, Trees Canada Western Pictorial works",acbk,nanf,NA,glk,2017-09-01T00:00:00.000,1
2935743,Angry birds playground : dinosaurs : a prehistoric adventure / by Jill Esbaum ; dinosaur art by Franco Tempesta.,"Esbaum, Jill","1426313241, 142631325X, 9781426313240, 9781426313257",c2013.,"National Geographic,","Dinosaurs Juvenile literature, Fossils Juvenile literature, Angry Birds Game Juvenile literature, Fossils",jcbk,ncnf,NA,col,2017-09-01T00:00:00.000,1
2566973,Poppy and Ereth / Avi ; illustrated by Brian Floca.,"Avi, 1937-","0061119695, 0061119709, 9780061119699, 9780061119705",2009.,"HarperCollinsPublishers,","White footed mouse Fiction, Mice Juvenile fiction, Porcupines Juvenile fiction, Bats Juvenile fiction, Friendship Fiction, Adventure stories",jcbk,ncfic,NA,net,2017-09-01T00:00:00.000,1
441852,,,,,,,acmus,camus,NA,cen,2017-09-01T00:00:00.000,1
2900921,Al Capone does my homework / Gennifer Choldenko.,"Choldenko, Gennifer, 1957-","0803734727, 9780803734722",c2013.,"Dial Books for Young Readers,","United States Penitentiary Alcatraz Island California Juvenile fiction, Alcatraz Island Calif History 20th century Juvenile fiction, Swindlers and swindling Juvenile fiction, Fires Juvenile fiction, Autism Juvenile fiction, Brothers and sisters Juvenile fiction, Brothers and sisters Fiction",jcbk,ccfic,NA,cen,2017-09-01T00:00:00.000,1
3164326,Strawberry Shortcake. Berry bake shop [videorecording] / American Greetings.,,,[2015],"20th Century Fox Home Entertainment,","Strawberry Shortcake Fictitious character Juvenile drama, Friendship Juvenile drama, Childrens television programs, Animated television programs, Fiction television programs, Television series, Video recordings for the hearing impaired",jcdvd,ncdvd,Floating,cap,2017-09-01T00:00:00.000,1
2582997,Report to Congress for the period of ... / United States Maritime Commission.,United States. Maritime Commission,,1937-1950.,"U.S. G.P.O.,","Merchant marine United States Periodicals, Shipping United States Periodicals",arbk,caref,NA,cen,2017-09-01T00:00:00.000,3
450744,Eroticon; [music] seven piano-pieces rev. and fingered by William Scharfenberg.,"Jensen, Adolf, 1837-1879",,c1889.,"Schirmer,",Piano music,acmus,camus,NA,cen,2017-09-01T00:00:00.000,1
